RECTYPE,ALPHAIND,LEA,ESTAB,URN,SCHNAME,ADDRESS1,ADDRESS2,ADDRESS3,TOWN,PCODE,TELNUM,URN_AC,SCHNAME_AC,OPEN_AC,NFTYPE,ICLOSE,RELDENOM,AGERANGE,CONFEXAM,TAB15,TAB1618,TOTPUPS,TPUPYEAR,TELIG,BELIG,GELIG,PBELIG,PGELIG,TKS1AVERAGE,TKS1GROUP_L,PTKS1GROUP_L,TKS1GROUP_M,PTKS1GROUP_M,TKS1GROUP_H,PTKS1GROUP_H,TKS1GROUP_NA,PTKS1GROUP_NA,TFSM6CLA1A,PTFSM6CLA1A,TNotFSM6CLA1A,PTNotFSM6CLA1A,TEALGRP2,PTEALGRP2,TMOBN,PTMOBN,TSENELSE,PSENELSE,PTRWM_EXP,PTRWM_HIGH,READPROG,READPROG_LOWER,READPROG_UPPER,READCOV,WRITPROG,WRITPROG_LOWER,WRITPROG_UPPER,WRITCOV,MATPROG,MATPROG_LOWER,MATPROG_UPPER,MATCOV,PTREAD_EXP,PTREAD_HIGH,PTREAD_AT,READ_AVERAGE,PTGPS_EXP,PTGPS_HIGH,PTGPS_AT,GPS_AVERAGE,PTMAT_EXP,PTMAT_HIGH,PTMAT_AT,MAT_AVERAGE,PTWRITTA_EXP,PTWRITTA_HIGH,PTWRITTA_WTS,PTWRITTA_AD,PTSCITA_EXP,PTSCITA_AD,PTREADTA_EXP,PTREADTA_AD,PTMATTA_EXP,PTMATTA_AD,PTRWM_EXP_B,PTRWM_EXP_G,PTRWM_EXP_L,PTRWM_EXP_M,PTRWM_EXP_H,PTRWM_EXP_FSM6CLA1A,PTRWM_EXP_NotFSM6CLA1A,DIFFN_RWM_EXP,PTRWM_EXP_EAL,PTRWM_EXP_MOBN,PTRWM_HIGH_B,PTRWM_HIGH_G,PTRWM_HIGH_L,PTRWM_HIGH_M,PTRWM_HIGH_H,PTRWM_HIGH_FSM6CLA1A,PTRWM_HIGH_NotFSM6CLA1A,DIFFN_RWM_HIGH,PTRWM_HIGH_EAL,PTRWM_HIGH_MOBN,READPROG_B,READPROG_B_LOWER,READPROG_B_UPPER,READPROG_G,READPROG_G_LOWER,READPROG_G_UPPER,READPROG_L,READPROG_L_LOWER,READPROG_L_UPPER,READPROG_M,READPROG_M_LOWER,READPROG_M_UPPER,READPROG_H,READPROG_H_LOWER,READPROG_H_UPPER,READPROG_FSM6CLA1A,READPROG_FSM6CLA1A_LOWER,READPROG_FSM6CLA1A_UPPER,READPROG_NotFSM6CLA1A,READPROG_NotFSM6CLA1A_LOWER,READPROG_NotFSM6CLA1A_UPPER,DIFFN_READPROG,READPROG_EAL,READPROG_EAL_LOWER,READPROG_EAL_UPPER,READPROG_MOBN,READPROG_MOBN_LOWER,READPROG_MOBN_UPPER,WRITPROG_B,WRITPROG_B_LOWER,WRITPROG_B_UPPER,WRITPROG_G,WRITPROG_G_LOWER,WRITPROG_G_UPPER,WRITPROG_L,WRITPROG_L_LOWER,WRITPROG_L_UPPER,WRITPROG_M,WRITPROG_M_LOWER,WRITPROG_M_UPPER,WRITPROG_H,WRITPROG_H_LOWER,WRITPROG_H_UPPER,WRITPROG_FSM6CLA1A,WRITPROG_FSM6CLA1A_LOWER,WRITPROG_FSM6CLA1A_UPPER,WRITPROG_NotFSM6CLA1A,WRITPROG_NotFSM6CLA1A_LOWER,WRITPROG_NotFSM6CLA1A_UPPER,DIFFN_WRITPROG,WRITPROG_EAL,WRITPROG_EAL_LOWER,WRITPROG_EAL_UPPER,WRITPROG_MOBN,WRITPROG_MOBN_LOWER,WRITPROG_MOBN_UPPER,MATPROG_B,MATPROG_B_LOWER,MATPROG_B_UPPER,MATPROG_G,MATPROG_G_LOWER,MATPROG_G_UPPER,MATPROG_L,MATPROG_L_LOWER,MATPROG_L_UPPER,MATPROG_M,MATPROG_M_LOWER,MATPROG_M_UPPER,MATPROG_H,MATPROG_H_LOWER,MATPROG_H_UPPER,MATPROG_FSM6CLA1A,MATPROG_FSM6CLA1A_LOWER,MATPROG_FSM6CLA1A_UPPER,MATPROG_NotFSM6CLA1A,MATPROG_NotFSM6CLA1A_LOWER,MATPROG_NotFSM6CLA1A_UPPER,DIFFN_MATPROG,MATPROG_EAL,MATPROG_EAL_LOWER,MATPROG_EAL_UPPER,MATPROG_MOBN,MATPROG_MOBN_LOWER,MATPROG_MOBN_UPPER,READ_AVERAGE_B,READ_AVERAGE_G,READ_AVERAGE_L,READ_AVERAGE_M,READ_AVERAGE_H,READ_AVERAGE_FSM6CLA1A,READ_AVERAGE_NotFSM6CLA1A,READ_AVERAGE_EAL,READ_AVERAGE_MOBN,MAT_AVERAGE_B,MAT_AVERAGE_G,MAT_AVERAGE_L,MAT_AVERAGE_M,MAT_AVERAGE_H,MAT_AVERAGE_FSM6CLA1A,MAT_AVERAGE_NotFSM6CLA1A,MAT_AVERAGE_EAL,MAT_AVERAGE_MOBN,GPS_AVERAGE_B,GPS_AVERAGE_G,GPS_AVERAGE_L,GPS_AVERAGE_M,GPS_AVERAGE_H,GPS_AVERAGE_FSM6CLA1A,GPS_AVERAGE_NotFSM6CLA1A,GPS_AVERAGE_EAL,GPS_AVERAGE_MOBN,PTREAD_EXP_L,PTREAD_EXP_M,PTREAD_EXP_H,PTREAD_EXP_FSM6CLA1A,PTREAD_EXP_NotFSM6CLA1A,PTGPS_EXP_L,PTGPS_EXP_M,PTGPS_EXP_H,PTGPS_EXP_FSM6CLA1A,PTGPS_EXP_NotFSM6CLA1A,PTMAT_EXP_L,PTMAT_EXP_M,PTMAT_EXP_H,PTMAT_EXP_FSM6CLA1A,PTMAT_EXP_NotFSM6CLA1A,PTWRITTA_EXP_L,PTWRITTA_EXP_M,PTWRITTA_EXP_H,PTWRITTA_EXP_FSM6CLA1A,PTWRITTA_EXP_NotFSM6CLA1A,PTREAD_HIGH_L,PTREAD_HIGH_M,PTREAD_HIGH_H,PTREAD_HIGH_FSM6CLA1A,PTREAD_HIGH_NotFSM6CLA1A,PTGPS_HIGH_L,PTGPS_HIGH_M,PTGPS_HIGH_H,PTGPS_HIGH_FSM6CLA1A,PTGPS_HIGH_NotFSM6CLA1A,PTMAT_HIGH_L,PTMAT_HIGH_M,PTMAT_HIGH_H,PTMAT_HIGH_FSM6CLA1A,PTMAT_HIGH_NotFSM6CLA1A,PTWRITTA_HIGH_L,PTWRITTA_HIGH_M,PTWRITTA_HIGH_H,PTWRITTA_HIGH_FSM6CLA1A,PTWRITTA_HIGH_NotFSM6CLA1A,TEALGRP1,PTEALGRP1,TEALGRP3,PTEALGRP3,TSENELAPK,PSENELSAPK,TSENELE,PSENELE,TSENELK,PSENELK,TSENELST,PSENELST,TSENELSAP,PSENELSAP,SENELN,PSENELN,PTFSM6CLA1A_16,PTNOTFSM6CLA1A_16,PTRWM_EXP_16,PTRWM_HIGH_16,PTRWM_EXP_FSM6CLA1A_16,PTRWM_EXP_NotFSM6CLA1A_16,PTRWM_HIGH_FSM6CLA1A_16,PTRWM_HIGH_NotFSM6CLA1A_16,READPROG_16,READPROG_LOWER_16,READPROG_UPPER_16,WRITPROG_16,WRITPROG_LOWER_16,WRITPROG_UPPER_16,MATPROG_16,MATPROG_LOWER_16,MATPROG_UPPER_16,READ_AVERAGE_16,MAT_AVERAGE_16
1,16408,936,2313,142999,Eastwick Junior School,Eastwick Drive,Great Bookham,,Leatherhead,KT23 3PP,0137 2453672,0,,,ACC,0,Does not apply,7-11,,0,0,378,94,94,58,36,62%,38%,17.3,7,8%,37,40%,48,52%,2,2%,11,12%,83,88%,5,5%,92,98%,6,6%,64%,9%,-1.6,-2.9,-0.3,98%,-2.1,-3.3,-0.9,98%,-1.5,-2.6,-0.4,98%,73%,32%,0%,106,73%,35%,0%,106,78%,34%,0%,106,80%,17%,15%,0%,84%,0%,86%,0%,82%,0%,62%,67%,0%,35%,96%,45%,66%,-22,SUPP,63%,9%,8%,0%,0%,17%,0%,10%,-11,SUPP,9%,-1.5,-3.1,0.1,-1.8,-3.9,0.3,-3.9,-8.5,0.7,-2.9,-4.9,-0.9,-0.2,-2.0,1.6,-3.7,-7.4,0.0,-1.3,-2.7,0.1,-4.0,SUPP,SUPP,SUPP,-1.6,-2.9,-0.3,-3.3,-4.9,-1.7,-0.2,-2.2,1.8,-6.2,-10.7,-1.7,-1.6,-3.5,0.3,-1.9,-3.6,-0.2,-7.0,-10.6,-3.4,-1.4,-2.7,-0.1,-7.2,SUPP,SUPP,SUPP,-2.2,-3.4,-1.0,-0.8,-2.3,0.7,-2.6,-4.5,-0.7,-7.4,-11.6,-3.2,-1.5,-3.3,0.3,-0.5,-2.1,1.1,-6.9,-10.2,-3.6,-0.7,-1.9,0.5,-7.2,SUPP,SUPP,SUPP,-1.5,-2.7,-0.3,106,105,94,100,111,103,106,SUPP,106,107,104,92,101,110,101,106,SUPP,106,106,106,97,101,111,102,106,SUPP,106,0%,57%,96%,45%,77%,29%,49%,100%,45%,77%,0%,65%,100%,45%,82%,14%,68%,100%,45%,84%,0%,0%,60%,18%,34%,0%,5%,63%,18%,37%,0%,14%,56%,9%,37%,0%,3%,29%,0%,19%,89,95%,0,0%,8,9%,6,6%,8,9%,0,0%,0,0%,0,0%,13%,87%,61%,9%,58%,61%,0%,10%,-0.9,-2.2,0.4,-1.8,-3.1,-0.5,-2.5,-3.6,-1.4,105,103
1,11934,936,2929,125108,Claygate Primary School,Foley Road,Claygate,,Esher,KT10 0NB,0137 2465348,0,,,CY,0,Does not apply,5-11,,0,0,439,57,58,30,28,52%,48%,15.9,6,12%,28,54%,18,35%,6,10%,11,19%,47,81%,2,3%,51,88%,4,7%,50%,7%,0.7,-1.0,2.4,90%,-4.3,-5.9,-2.7,90%,-1.1,-2.6,0.4,90%,79%,24%,0%,106,67%,19%,0%,104,71%,21%,0%,104,53%,10%,38%,0%,95%,0%,81%,0%,78%,0%,50%,50%,0%,32%,100%,18%,57%,-49,SUPP,49%,7%,7%,0%,0%,22%,0%,9%,-11,SUPP,8%,0.1,-2.2,2.4,1.4,-1.1,3.9,-4.2,-9.2,0.8,1.1,-1.2,3.4,1.6,-1.3,4.5,-4.5,-8.2,-0.8,2.1,0.2,4.0,-4.8,SUPP,SUPP,SUPP,0.5,-1.3,2.3,-5.2,-7.4,-3.0,-3.2,-5.6,-0.8,-8.2,-13.0,-3.4,-5.2,-7.4,-3.0,-1.4,-4.2,1.4,-8.2,-11.8,-4.6,-3.2,-5.1,-1.3,-8.4,SUPP,SUPP,SUPP,-4.3,-6.0,-2.6,-0.7,-2.8,1.4,-1.5,-3.8,0.8,-7.6,-12.1,-3.1,-0.3,-2.4,1.8,-0.1,-2.7,2.5,-4.6,-7.9,-1.3,-0.1,-1.8,1.6,-4.9,SUPP,SUPP,SUPP,-0.9,-2.5,0.7,105,106,96,103,112,98,107,SUPP,106,105,104,92,102,110,98,105,SUPP,104,103,105,97,101,110,97,105,SUPP,104,17%,79%,100%,36%,89%,0%,57%,100%,18%,79%,0%,68%,100%,45%,77%,0%,36%,100%,18%,62%,0%,7%,56%,0%,30%,0%,0%,50%,0%,23%,0%,7%,50%,0%,26%,0%,0%,28%,0%,13%,56,97%,0,0%,8,14%,4,7%,8,14%,0,0%,0,0%,0,0%,6%,94%,72%,10%,SUPP,SUPP,SUPP,SUPP,0.5,-1,2,-0.3,-1.8,1.2,0.6,-0.6,1.8,105,106
1,44014,936,3065,131072,Riverview CofE Primary and Nursery School VA,Riverview Road,West Ewell,,Epsom,KT19 0JP,0208 3371245,0,,,VA,0,Church of England,3-11,,0,0,233,27,27,14,13,52%,48%,15.0,2,8%,18,69%,6,23%,1,4%,9,33%,18,67%,4,15%,25,93%,0,0%,63%,7%,1.9,-0.5,4.3,96%,3.2,0.9,5.5,96%,-0.5,-2.7,1.7,96%,70%,26%,0%,105,67%,19%,0%,103,70%,11%,0%,103,89%,19%,7%,0%,81%,0%,78%,0%,78%,0%,57%,69%,SUPP,61%,83%,33%,78%,-34,SUPP,68%,0%,15%,SUPP,0%,33%,0%,11%,-11,SUPP,8%,0.9,-2.5,4.3,2.9,-0.5,6.3,SUPP,SUPP,SUPP,2.0,-0.9,4.9,2.7,-2.3,7.7,1.7,-2.4,5.8,2.0,-1.0,5.0,1.4,SUPP,SUPP,SUPP,2.6,0.1,5.1,2.3,-1.0,5.6,4.2,0.9,7.5,SUPP,SUPP,SUPP,4.1,1.3,6.9,3.0,-1.8,7.8,1.9,-2.0,5.8,3.9,1.0,6.8,1.7,SUPP,SUPP,SUPP,3.9,1.5,6.3,-0.3,-3.4,2.8,-0.6,-3.7,2.5,SUPP,SUPP,SUPP,0.4,-2.2,3.0,-2.1,-6.6,2.4,-3.7,-7.4,0.0,1.2,-1.5,3.9,-4.0,SUPP,SUPP,SUPP,0.4,-1.9,2.7,104,106,SUPP,103,112,103,106,SUPP,105,103,102,SUPP,101,107,98,105,SUPP,103,101,105,SUPP,101,112,102,104,SUPP,103,SUPP,67%,100%,44%,83%,SUPP,61%,100%,56%,72%,SUPP,72%,83%,44%,83%,SUPP,94%,100%,67%,100%,SUPP,17%,67%,22%,28%,SUPP,0%,83%,0%,28%,SUPP,0%,50%,0%,17%,SUPP,6%,67%,11%,22%,23,85%,0,0%,7,26%,0,0%,7,26%,0,0%,0,0%,0,0%,27%,73%,50%,4%,29%,58%,0%,5%,-2.3,-4.7,0.1,-5.1,-7.5,-2.7,-2.9,-5,-0.8,102,102
1,37990,936,2335,125019,Oakfield Junior School,Bell Lane,Fetcham,,Leatherhead,KT22 9ND,0137 2374781,0,,,CY,0,Does not apply,7-11,,0,0,245,60,58,31,27,53%,47%,17.0,5,9%,18,33%,32,58%,3,5%,7,12%,51,88%,7,12%,55,95%,5,9%,74%,19%,-0.6,-2.2,1.0,95%,-0.4,-2.0,1.2,95%,-0.8,-2.3,0.7,95%,79%,34%,0%,108,86%,41%,0%,109,86%,31%,0%,107,84%,29%,7%,0%,86%,0%,88%,0%,90%,0%,77%,70%,SUPP,67%,91%,43%,78%,-24,71%,76%,26%,11%,SUPP,6%,31%,14%,20%,3,43%,20%,-0.6,-2.8,1.6,-0.5,-3.0,2.0,SUPP,SUPP,SUPP,0.1,-2.8,3.0,-0.9,-3.1,1.3,-3.3,-7.9,1.3,-0.2,-2.0,1.6,-3.6,1.2,-3.4,5.8,-0.5,-2.2,1.2,-0.9,-3.0,1.2,0.2,-2.2,2.6,SUPP,SUPP,SUPP,0.8,-2.0,3.6,-0.9,-3.0,1.2,1.9,-2.6,6.4,-0.7,-2.4,1.0,1.7,0.6,-3.9,5.1,-0.3,-1.9,1.3,0.2,-1.8,2.2,-2.2,-4.5,0.1,SUPP,SUPP,SUPP,-0.4,-3.0,2.2,-0.5,-2.4,1.4,-1.3,-5.5,2.9,-0.8,-2.4,0.8,-1.6,-0.2,-4.4,4.0,-0.8,-2.3,0.7,108,107,SUPP,104,110,103,108,113,108,108,105,SUPP,104,110,105,107,112,107,109,109,SUPP,106,111,108,109,111,110,SUPP,72%,97%,43%,84%,SUPP,89%,100%,86%,86%,SUPP,94%,97%,86%,86%,SUPP,89%,97%,86%,84%,SUPP,11%,50%,14%,37%,SUPP,33%,50%,29%,43%,SUPP,6%,53%,14%,33%,SUPP,11%,41%,29%,29%,51,88%,0,0%,5,9%,4,7%,5,9%,1,2%,0,0%,0,0%,14%,86%,71%,7%,38%,76%,0%,8%,-0.6,-2.2,1,-1.5,-3.1,0.1,-0.5,-1.9,0.9,106,106
1,21354,936,3349,125185,Green Oak CofE Primary School and Nursery,Franklyn Road,,,Godalming,GU7 2LD,0148 3422924,0,,,VA,0,Church of England,3-11,,0,0,154,16,16,10,6,63%,38%,15.5,1,8%,8,62%,4,31%,3,19%,8,50%,8,50%,3,19%,12,75%,0,0%,38%,0%,-1.3,-4.8,2.2,75%,-10.7,-14.1,-7.3,75%,-4.0,-7.2,-0.8,75%,63%,6%,6%,102,44%,19%,6%,101,63%,13%,6%,102,38%,0%,13%,6%,50%,6%,56%,6%,75%,6%,20%,67%,SUPP,25%,SUPP,38%,38%,-29,SUPP,42%,0%,0%,SUPP,0%,SUPP,0%,0%,-11,SUPP,0%,-3.7,-8.0,0.6,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-2.1,-6.4,2.2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0.6,-3.3,4.5,-14.1,-18.3,-9.9,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-13.2,-17.4,-9.0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-9.3,-13.0,-5.6,-3.4,-7.3,0.5,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-2.5,-6.4,1.4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,-5.0,-8.5,-1.5,100,105,SUPP,102,SUPP,104,100,SUPP,104,101,104,SUPP,99,SUPP,102,102,SUPP,101,100,104,SUPP,100,SUPP,103,100,SUPP,102,SUPP,50%,SUPP,63%,63%,SUPP,25%,SUPP,38%,50%,SUPP,50%,SUPP,63%,63%,SUPP,25%,SUPP,38%,38%,SUPP,13%,SUPP,13%,0%,SUPP,25%,SUPP,38%,0%,SUPP,0%,SUPP,0%,25%,SUPP,0%,SUPP,0%,0%,13,81%,0,0%,6,38%,0,0%,6,38%,0,0%,0,0%,0,0%,90%,10%,0%,0%,SUPP,SUPP,SUPP,SUPP,-7.5,-11.4,-3.6,-9,-12.9,-5.1,-7.9,-11.2,-4.6,93,93
1,23286,936,5202,125284,Hawkedale Primary School,Stratton Road,,,Sunbury-on-Thames,TW16 6PG,0193 2789412,0,,,FD,0,None,4-11,,0,0,83,0
1,41228,936,2391,125040,Pirbright Village Primary School,School Lane,Pirbright,,Woking,GU24 0JN,0148 3473884,0,,,CY,0,Does not apply,4-11,R,0,0,404,58,59,33,26,56%,44%,16.9,4,7%,29,50%,25,43%,1,2%,9,15%,50,85%,2,3%,54,92%,1,2%,76%,19%,1.5,-0.1,3.1,98%,0.5,-1.1,2.1,98%,1.5,0.1,2.9,98%,86%,42%,0%,107,86%,37%,0%,108,85%,37%,0%,107,81%,29%,19%,0%,86%,0%,86%,0%,81%,0%,73%,81%,SUPP,66%,100%,44%,82%,-23,SUPP,78%,12%,27%,SUPP,0%,44%,0%,22%,-11,SUPP,20%,1.2,-1.0,3.4,1.9,-0.5,4.3,SUPP,SUPP,SUPP,1.6,-0.7,3.9,1.3,-1.1,3.7,0.1,-4.0,4.2,1.7,0.0,3.4,-0.2,SUPP,SUPP,SUPP,1.1,-0.6,2.8,-0.7,-2.8,1.4,2.0,-0.3,4.3,SUPP,SUPP,SUPP,-0.4,-2.6,1.8,1.6,-0.8,4.0,-1.0,-4.9,2.9,0.8,-0.9,2.5,-1.2,SUPP,SUPP,SUPP,0.8,-0.8,2.4,1.9,0.0,3.8,0.9,-1.3,3.1,SUPP,SUPP,SUPP,1.1,-0.9,3.1,2.3,0.1,4.5,-0.3,-4.0,3.4,1.8,0.2,3.4,-0.6,SUPP,SUPP,SUPP,1.4,-0.1,2.9,106,109,SUPP,104,112,101,108,SUPP,107,106,107,SUPP,104,113,101,108,SUPP,107,107,110,SUPP,105,114,103,109,SUPP,108,SUPP,83%,100%,67%,90%,SUPP,83%,100%,78%,88%,SUPP,83%,100%,56%,90%,SUPP,76%,100%,44%,88%,SUPP,24%,72%,11%,48%,SUPP,14%,72%,22%,40%,SUPP,10%,76%,0%,44%,SUPP,3%,64%,11%,32%,57,97%,0,0%,6,10%,1,2%,6,10%,0,0%,0,0%,0,0%,16%,84%,64%,12%,33%,69%,0%,14%,3.1,1.4,4.8,0.7,-1,2.4,1.1,-0.3,2.5,106,104
1,42212,936,2019,139951,Pyrcroft Grange Primary School,Pyrcroft Road,,,Chertsey,KT16 9EW,0193 2564094,0,,,AC,0,Does not apply,4-11,,0,0,203,26,26,14,12,54%,46%,13.3,10,40%,10,40%,5,20%,1,4%,11,42%,15,58%,2,8%,24,92%,4,15%,81%,19%,8.5,6.1,10.9,96%,7.4,5.0,9.8,96%,9.2,7.0,11.4,96%,85%,42%,0%,106,85%,35%,0%,107,85%,54%,0%,108,85%,31%,8%,0%,88%,0%,85%,0%,85%,0%,71%,92%,60%,100%,SUPP,100%,67%,33,SUPP,83%,7%,33%,0%,20%,SUPP,0%,33%,-11,SUPP,21%,7.2,3.9,10.5,10.3,6.6,14.0,13.9,10.0,17.8,7.3,3.4,11.2,SUPP,SUPP,SUPP,14.6,10.9,18.3,3.8,0.5,7.1,14.3,SUPP,SUPP,SUPP,8.4,5.9,10.9,6.8,3.6,10.0,8.2,4.6,11.8,10.3,6.6,14.0,6.1,2.4,9.8,SUPP,SUPP,SUPP,9.9,6.3,13.5,5.4,2.2,8.6,9.7,SUPP,SUPP,SUPP,7.7,5.3,10.1,8.7,5.8,11.6,9.9,6.6,13.2,11.9,8.4,15.4,9.3,5.8,12.8,SUPP,SUPP,SUPP,12.5,9.2,15.8,6.6,3.7,9.5,12.2,SUPP,SUPP,SUPP,9.5,7.2,11.8,104,110,103,110,SUPP,110,104,SUPP,107,106,110,102,112,SUPP,109,107,SUPP,108,106,109,102,109,SUPP,107,107,SUPP,108,70%,100%,SUPP,100%,73%,70%,100%,SUPP,100%,73%,70%,100%,SUPP,100%,73%,70%,100%,SUPP,100%,73%,20%,60%,SUPP,45%,40%,0%,40%,SUPP,9%,53%,20%,80%,SUPP,45%,60%,0%,40%,SUPP,9%,47%,24,92%,0,0%,5,19%,4,15%,5,19%,0,0%,0,0%,0,0%,60%,40%,92%,36%,87%,100%,20%,60%,12.2,9.7,14.7,7.7,5.2,10.2,12.3,10.2,14.4,112,112
1,28118,936,2024,140348,Kenyngton Manor Primary School,Bryony Way,Off Beechwood Avenue,,Sunbury-on-Thames,TW16 7QL,0193 2783778,0,,,AC,0,Does not apply,2-11,,0,0,468,44,44,20,24,45%,55%,15.5,7,18%,21,53%,12,30%,4,9%,20,45%,24,55%,8,18%,39,89%,3,7%,50%,7%,-0.8,-2.8,1.2,82%,-2.7,-4.6,-0.8,91%,-2.4,-4.1,-0.7,91%,68%,20%,9%,103,70%,23%,9%,104,61%,23%,0%,103,59%,11%,32%,0%,73%,0%,68%,0%,61%,0%,60%,42%,0%,33%,100%,30%,67%,-37,63%,51%,10%,4%,0%,5%,17%,5%,8%,-6,25%,8%,0.2,-2.7,3.1,-1.8,-4.7,1.1,SUPP,SUPP,SUPP,-0.9,-3.6,1.8,-0.7,-4.2,2.8,-0.6,-3.6,2.4,-1.0,-3.8,1.8,-0.9,SUPP,SUPP,SUPP,-0.2,-2.4,2.0,-1.8,-4.6,1.0,-3.4,-5.9,-0.9,-5.9,-10.4,-1.4,-2.9,-5.5,-0.3,-0.5,-3.9,2.9,-3.1,-5.8,-0.4,-2.3,-4.9,0.3,-3.3,0.1,-4.7,4.9,-2.7,-4.7,-0.7,0.9,-1.7,3.5,-5.1,-7.5,-2.7,-8.1,-12.3,-3.9,-1.8,-4.2,0.6,-0.1,-3.3,3.1,-5.1,-7.6,-2.6,0.0,-2.4,2.4,-5.4,0.9,-3.6,5.4,-2.5,-4.3,-0.7,104,102,92,101,110,103,104,104,104,105,102,92,101,110,100,106,108,103,103,104,95,102,108,102,105,110,104,14%,67%,100%,60%,75%,14%,76%,92%,65%,75%,0%,52%,100%,45%,75%,0%,52%,100%,50%,67%,0%,14%,42%,25%,17%,0%,10%,50%,15%,29%,0%,14%,58%,15%,29%,0%,5%,33%,10%,13%,36,82%,0,0%,8,18%,3,7%,8,18%,0,0%,0,0%,0,0%,43%,57%,37%,3%,13%,55%,0%,5%,-2,-4.1,0.1,0.1,-2,2.2,-1.1,-2.9,0.7,99,100
1,21900,936,2963,132758,Guildford Grove Primary School,Southway,,,Guildford,GU2 8YD,0148 3504713,143373,Guildford Grove Primary School,20161101,CY,0,Does not apply,3-11,,0,0,463,60,59,30,29,51%,49%,14.8,14,25%,29,51%,14,25%,2,3%,31,53%,28,47%,7,12%,51,86%,4,7%,44%,7%,-2.1,-3.7,-0.5,97%,-1.9,-3.5,-0.3,97%,0.5,-1.0,2.0,97%,59%,14%,0%,101,75%,19%,0%,104,73%,24%,0%,104,61%,8%,25%,0%,71%,0%,73%,0%,73%,0%,43%,45%,0%,45%,86%,32%,57%,-35,43%,45%,13%,0%,0%,0%,29%,3%,11%,-8,14%,8%,-2.0,-4.3,0.3,-2.3,-4.6,0.0,-3.9,-7.2,-0.6,-1.5,-3.8,0.8,-1.7,-5.0,1.6,-3.0,-5.2,-0.8,-1.1,-3.5,1.3,-3.3,-3.3,-8.3,1.7,-2.2,-3.9,-0.5,-3.0,-5.2,-0.8,-0.9,-3.1,1.3,-3.6,-6.8,-0.4,-1.5,-3.7,0.7,-1.1,-4.3,2.1,-2.1,-4.2,0.0,-1.8,-4.1,0.5,-2.3,-0.9,-5.7,3.9,-1.8,-3.5,-0.1,1.4,-0.7,3.5,-0.3,-2.3,1.7,-1.9,-4.8,1.0,1.2,-0.8,3.2,1.6,-1.3,4.5,-0.1,-2.1,1.9,1.2,-1.0,3.4,-0.4,-0.7,-5.2,3.8,0.6,-1.0,2.2,102,101,90,101,109,99,104,102,102,106,103,94,104,111,102,107,107,104,105,104,94,104,112,102,107,107,104,0%,69%,93%,45%,75%,7%,93%,100%,68%,82%,14%,90%,93%,65%,82%,7%,69%,100%,55%,68%,0%,7%,43%,6%,21%,0%,7%,57%,10%,29%,0%,10%,71%,13%,36%,0%,0%,29%,3%,14%,52,88%,0,0%,10,17%,4,7%,10,17%,0,0%,0,0%,0,0%,45%,55%,45%,11%,24%,61%,0%,19%,-1.2,-2.9,0.5,0.7,-1,2.4,1.2,-0.3,2.7,100,103
