"URN","LA (code)","EstablishmentNumber","EstablishmentName","EstablishmentTypeGroup (name)","PhaseOfEducation (name)","ReligiousCharacter (name)","PercentageFSM","DistrictAdministrative (name)","OfstedRating (name)"
115850,"850","2000","Alton Infant School","Local authority maintained schools","Primary","Does not apply","24","East Hampshire","Good"
115851,"850","2001","Anstey Junior School","Local authority maintained schools","Primary","Does not apply","16.5","East Hampshire","Good"
115852,"850","2002","Balksbury Junior School","Local authority maintained schools","Primary","Does not apply","9.9","Test Valley","Good"
115853,"850","2003","Portway Junior School","Local authority maintained schools","Primary","Does not apply","13.9","Test Valley","Good"
115854,"850","2004","Anton Junior School","Local authority maintained schools","Primary","Does not apply","5.9","Test Valley","Outstanding"
115855,"850","2005","Ashley Infant School","Local authority maintained schools","Primary","Does not apply","17.1","New Forest","Good"
115857,"850","2007","Portway Infant School","Local authority maintained schools","Primary","Does not apply","9.2","Test Valley","Outstanding"
115858,"850","2008","Winklebury Junior School","Local authority maintained schools","Primary","Does not apply","20.4","Basingstoke and Deane","Good"
115859,"850","2012","Oakridge Infant School","Local authority maintained schools","Primary","Does not apply","8.9","Basingstoke and Deane","Outstanding"
115860,"850","2013","South View Junior School","Local authority maintained schools","Primary","Does not apply","31.2","Basingstoke and Deane","Good"
115861,"850","2014","Beaulieu Village Primary School","Local authority maintained schools","Primary","Does not apply","7.3","New Forest","Good"
115862,"850","2018","Stoke Park Infant School","Local authority maintained schools","Primary","Does not apply","8.6","Eastleigh","Good"
115863,"850","2019","Bishops Waltham Infant School","Local authority maintained schools","Primary","Does not apply","6.7","Winchester","Outstanding"
115865,"850","2022","Bordon Infant School","Local authority maintained schools","Primary","Does not apply","15.6","East Hampshire","Good"
115866,"850","2023","Braishfield Primary School","Local authority maintained schools","Primary","Does not apply","9","Test Valley","Good"
115867,"850","2025","Broughton Primary School","Local authority maintained schools","Primary","Does not apply","2.9","Test Valley","Good"
115868,"850","2026","Burghclere Primary School","Local authority maintained schools","Primary","Does not apply","5.5","Basingstoke and Deane","Good"
115869,"850","2027","Buriton Primary School","Local authority maintained schools","Primary","Does not apply","14.4","East Hampshire","Good"
115870,"850","2028","Burley Primary School","Local authority maintained schools","Primary","Does not apply","9.3","New Forest","Good"
115871,"850","2030","Stoke Park Junior School","Local authority maintained schools","Primary","Does not apply","18.1","Eastleigh","Good"
115872,"850","2033","Chandler's Ford Infant School","Local authority maintained schools","Primary","Does not apply","5.3","Eastleigh","Good"
115873,"850","2034","Merdon Junior School","Local authority maintained schools","Primary","Does not apply","9.1","Eastleigh","Good"
115874,"850","2035","Cheriton Primary School","Local authority maintained schools","Primary","Does not apply","5.3","Winchester","Outstanding"
115875,"850","2036","North Baddesley Infant School","Local authority maintained schools","Primary","Does not apply","10.3","Test Valley","Good"
115876,"850","2040","Clanfield Junior School","Local authority maintained schools","Primary","Does not apply","8.9","East Hampshire","Good"
115877,"850","2041","Cliddesden Primary School","Local authority maintained schools","Primary","Does not apply","10.4","Basingstoke and Deane","Good"
115878,"850","2046","Crondall Primary School","Local authority maintained schools","Primary","Does not apply","9.4","Hart","Good"
115879,"850","2047","Curdridge Primary School","Local authority maintained schools","Primary","Does not apply","14.4","Winchester","Good"
115880,"850","2049","Crofton Anne Dale Junior School","Local authority maintained schools","Primary","Does not apply","8.3","Fareham","Good"
115881,"850","2053","Droxford Junior School","Local authority maintained schools","Primary","Does not apply","4.9","Winchester","Outstanding"
115882,"850","2054","Denmead Infant School","Local authority maintained schools","Primary","Does not apply","9.8","Winchester","Good"
115883,"850","2055","Wildground Junior School","Local authority maintained schools","Primary","Does not apply","32.3","New Forest","Good"
115884,"850","2056","Fryern Junior School","Local authority maintained schools","Primary","Does not apply","14.3","Eastleigh","Good"
115885,"850","2057","Wildground Infant School","Local authority maintained schools","Primary","Does not apply","27.3","New Forest","Good"
115886,"850","2061","The Crescent Primary School","Local authority maintained schools","Primary","Does not apply","15.6","Eastleigh","Good"
115887,"850","2062","Cherbourg Primary School","Local authority maintained schools","Primary","Does not apply","26.7","Eastleigh","Good"
115888,"850","2063","Shakespeare Infant School","Local authority maintained schools","Primary","Does not apply","12.3","Eastleigh","Outstanding"
115889,"850","2067","Wallisdean Junior School","Local authority maintained schools","Primary","Does not apply","21.9","Fareham","Requires improvement"
115890,"850","2069","Uplands Primary School","Local authority maintained schools","Primary","Does not apply","4.5","Fareham","Good"
