time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,school_phase,NC_year_admission,admission_numbers,applications_received,online_applications,online_apps_percent,no_of_preferences,first_preference_offers,first_preference_offers_percent,second_preference_offers,second_preference_offers_percent,third_preference_offers,third_preference_offers_percent,one_of_the_three_preference_offers,one_of_the_three_preference_offers_percent,preferred_school_offer,preferred_school_offer_percent,non_preferred_offer,non_preferred_offer_percent,no_offer,no_offer_percent,schools_in_la_offer,schools_in_la_offer_percent,schools_in_another_la_offer,schools_in_another_la_offer_percent,offers_to_nonapplicants
202021,Academic year,National,E92000001,England,,,,,,Primary,:,710778,612146,580938,94.90186982,:,552286,90.22128708,34030,5.559131318,9324,1.523166042,595640,97.30358444,598630,97.79203001,12742,2.08152957,774,0.126440424,593391,96.97103898,18535,3.028961018,554
202021,Academic year,Regional,E92000001,England,E12000001,NORTH EAST,,,,Primary,:,33663,27340,24985,91.38624726,:,25768,94.25018288,926,3.386978786,203,0.742501829,26897,98.3796635,26918,98.45647403,362,1.324067301,60,0.219458669,26920,98.00495122,548,1.995048784,188
202021,Academic year,Regional,E92000001,England,E12000002,NORTH WEST,,,,Primary,:,96187,82577,76577,92.73405428,:,74843,90.63419596,4474,5.417973528,1144,1.385373651,80461,97.43754314,80558,97.55500926,1949,2.360221369,70,0.084769367,80536,97.39980166,2150,2.600198341,179
202021,Academic year,Regional,E92000001,England,E12000003,YORKSHIRE AND THE HUMBER,,,,Primary,:,72228,60614,53800,88.75837265,:,55857,92.15197809,2647,4.366977926,653,1.077308873,59157,97.59626489,59387,97.97571518,1187,1.958293464,40,0.065991355,59603,98.34342568,1004,1.656574323,33
202021,Academic year,Regional,E92000001,England,E12000004,EAST MIDLANDS,,,,Primary,:,62403,51924,50092,96.47176643,:,48155,92.74131423,2355,4.535474925,469,0.903243202,50979,98.18003235,51040,98.29751175,730,1.405900932,154,0.29658732,50387,97.30413456,1396,2.695865438,13
202021,Academic year,Regional,E92000001,England,E12000005,WEST MIDLANDS,,,,Primary,:,77042,66440,62387,93.89975918,:,60806,91.52016857,3289,4.950331126,860,1.294400963,64955,97.76490066,65048,97.90487658,1336,2.010836845,56,0.084286574,64274,96.66862188,2215,3.331378123,105
202021,Academic year,Regional,E92000001,England,E12000006,EAST OF ENGLAND,,,,Primary,:,81071,69565,66635,95.78811184,:,63207,90.86034644,3879,5.576079925,962,1.382879321,68048,97.81930569,68324,98.21605693,1204,1.730755409,37,0.053187666,68318,98.21166729,1244,1.78833271,34
202021,Academic year,Regional,E92000001,England,E12000008,SOUTH EAST,,,,Primary,:,111413,99466,96175,96.69133171,:,88481,88.95602517,6398,6.432348742,1860,1.869985724,96739,97.25835964,97073,97.59415278,2283,2.295256671,110,0.110590554,97173,97.80088166,2185,2.19911834,2
202021,Academic year,Regional,E92000001,England,E12000009,SOUTH WEST,,,,Primary,:,68154,56905,54782,96.26922063,:,52459,92.1869783,2685,4.7183903,655,1.151041209,55799,98.05640981,55847,98.14076092,1034,1.817063527,24,0.042175556,55769,98.0450414,1112,1.954958598,0
202021,Academic year,Regional,E92000001,England,E12000007,INNER LONDON,,,,Primary,:,37169,32074,31440,98.02332107,:,26788,83.51936148,2419,7.541934277,903,2.81536447,30110,93.87666022,30868,96.23994513,1078,3.360977739,128,0.399077134,29668,92.8692168,2278,7.130783197,0
202021,Academic year,Regional,E92000001,England,E12000007,OUTER LONDON,,,,Primary,:,71448,65241,64065,98.19745252,:,55922,85.71603746,4958,7.599515642,1615,2.475437225,62495,95.79099033,63567,97.43412885,1579,2.4202572,95,0.145613954,60743,93.24133485,4403,6.758665152,0
202021,Academic year,Local authority,E92000001,England,E12000007,INNER LONDON,E09000001,201,City of London,Primary,R,30,27,25,92.59259259,6,24,88.88888889,0,0,0,0,24,88.88888889,25,92.59259259,2,7.407407407,0,0,11,40.74074074,16,59.25925926,0
